t_id,probability
8309,0.5163544780426891
9017,0.5078177249803733
10709,0.4984391446382618
3475,0.5110181023770051
10140,0.4859188427196591
266,0.5053404093540526
12749,0.49550636852128455
5826,0.5034902122851623
1191,0.5105421585800758
4810,0.48866001091607547
3794,0.4891724763621087
8142,0.5116724961989784
6986,0.49891032527493423
690,0.48546858004497506
1009,0.5013974666475179
5522,0.4985814024199831
7704,0.5130629744931211
1471,0.5125251849261343
6808,0.4901702556410502
2255,0.48847792438936105
4134,0.4907963891880515
4066,0.5119463855820462
4394,0.5154775804513195
10876,0.5084198443208796
13348,0.5175972015218463
3705,0.5095936441330017
12302,0.5038659740065476
10471,0.5084737644698049
6690,0.5199321119265476
5606,0.5145972809938292
7367,0.49939121483842547
9253,0.509353275283536
11387,0.5138939388103962
2648,0.5055916401612193
4063,0.49362543293030003
7034,0.5148233792661865
8326,0.5212271983169743
3263,0.486218479074054
4155,0.5078286726584079
12813,0.5119131050564338
12462,0.4930882962588362
9802,0.501203949159256
2160,0.4927154066968
6746,0.49004562030010435
12306,0.5089967568462707
8405,0.5134210835421789
1591,0.5005218727474352
3932,0.49913321777389974
2947,0.5047266673214159
7976,0.5121510183803
12731,0.5084930629166857
9885,0.4812729197257762
348,0.5127420831420577
13145,0.5010766361278631
12077,0.49464952762323255
1116,0.4943503330649427
10301,0.4869739965833069
12985,0.49548229415255707
4477,0.5014152881963092
10741,0.49314695808921055
4387,0.4984428761376247
9320,0.4985313309333357
2980,0.500282540711054
1156,0.49827769461692495
12358,0.4970436549836922
2184,0.5149964767229445
3406,0.4868231241571279
4545,0.49545336434220655
10857,0.5071239618076531
1930,0.5145873839719949
1789,0.4861260585257423
1006,0.49864832346155924
11675,0.48531939809638314
11955,0.5115080463963723
7719,0.5009796709065535
5354,0.49737755153880503
9687,0.49803222335336894
36,0.4995500005748883
892,0.48648826754477875
10342,0.5008850897946272
10259,0.5008727363518378
9538,0.48851372380726193
4975,0.48836232152510184
10375,0.4912226152087711
3902,0.494437861047931
6905,0.48637452603817927
9889,0.5002451917620022
118,0.5034914397890077
8039,0.5052833216614054
5712,0.4923263080232739
8259,0.5079811922581439
10571,0.5181985395106408
7187,0.49437148447602647
1076,0.5067998317818417
13059,0.4868705734694953
11221,0.5022338797440793
8413,0.5042732280260834
3749,0.5020596513586721
7177,0.4841890447600603
9493,0.4922938237508208
11209,0.49895073101459125
12552,0.5259837226956898
6842,0.48816381000101855
6700,0.5042837621138243
6864,0.5064319501023283
7924,0.5044684216099345
8932,0.4912346411757488
8409,0.49565417708101595
3331,0.49725343676405437
2875,0.5091745957400856
8065,0.49271358154329364
12966,0.5162788788545081
9366,0.49235325007707353
7685,0.49051838407004833
80,0.5077716158313041
62,0.5007733083103361
4837,0.4947936063582291
6140,0.5015763499117903
2996,0.4942670551012307
7023,0.4953490928150589
8239,0.4876881907525283
5957,0.4912909346573853
9781,0.49542255206960434
6874,0.4887911068221251
4030,0.4946633140770551
2210,0.4909210322091169
7123,0.5082596377404531
10339,0.5014258524704308
1349,0.5002629366121815
6106,0.48932594726497414
10319,0.49807837845919867
1568,0.4931722822895497
4716,0.4981557756033824
6732,0.4974240610582017
10371,0.48893212976925676
12375,0.5070896945129074
9848,0.492972849207491
13111,0.5042321022267581
3386,0.4980434840230233
13146,0.5104262684067626
8971,0.5119984384329512
1774,0.5058822477141837
5921,0.49089672922393024
4619,0.5034769015121576
5353,0.5007271936483031
1161,0.4947713025051191
3567,0.5001347105232308
12291,0.4911227038895889
4064,0.49233005012005354
2576,0.49676312640669246
2590,0.4952509546919585
9071,0.4821968324861747
7666,0.4819097529282999
11455,0.49648585450275107
7620,0.4856715792491665
6964,0.497535540808688
8015,0.4965376495830998
140,0.5097020061709429
5489,0.5070277416230309
7251,0.5140183935248783
1170,0.5077311403270712
10026,0.49535197007329995
12198,0.5017518605215449
5401,0.49863756523096475
10225,0.514402894484855
459,0.5084819870542111
9526,0.49217681653514134
9504,0.4954665049450664
13285,0.5121078619557259
12856,0.5197134995189109
7583,0.5092961634527304
6799,0.5069355184704398
10273,0.5032347084457963
8044,0.47964458321354086
638,0.49473000008427814
5454,0.5036525995279028
4425,0.5018317503991688
677,0.5025012829710908
12783,0.48809861407250105
1043,0.5059330688637297
2180,0.4987221526370714
523,0.5182320388560488
6841,0.4998104116377017
11975,0.4852894917828345
2477,0.49145362197929104
10417,0.5057329991784576
8339,0.4969138530723035
529,0.5124459225381469
7551,0.4982367121657564
9448,0.5089523951784255
8155,0.5009231000939558
12457,0.5149442888758516
3544,0.490764525925907
11283,0.5143295821957324
8608,0.5012563827091697
7673,0.5065730589365581
5371,0.49329813366792685
10775,0.50562447401136
2003,0.49479685259906087
6660,0.49433068433651217
2262,0.5031093271378922
13165,0.5095095415444151
9009,0.4986413734031321
12626,0.481604018642404
9852,0.5249840887786945
8288,0.5056753267317982
6629,0.49452996951345163
7562,0.5137452156225799
1749,0.49138292736457245
